log_dir= logs/pretrain_duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/data/ustc/wbq/data', dist_metric='euclidean', dropout=0.5, epochs=200, epochs_decay=10, evaluate=False, features=4096, height=256, init_1='/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar', inv_alpha=0.4, inv_beta=0.07, knn=18, lmd=0.3, logs_dir='logs/pretrain_duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
=> Loaded checkpoint '/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar'
Epoch: [0][65/129], Time 0.910 (0.989), Data 0.009 (0.024), Loss 8.239 (9.193), Prec 98.44% (98.88%), s_pid_loss: 0.3167, t_un_loss: 7.9420, loss_tri_soft: 0.5939, loss_tri: 0.0888
Epoch: [0][66/129], Time 0.902 (0.988), Data 0.010 (0.023), Loss 8.624 (9.184), Prec 98.44% (98.88%), s_pid_loss: 0.3640, t_un_loss: 8.3265, loss_tri_soft: 0.5947, loss_tri: 0.0933
Epoch: [0][67/129], Time 0.912 (0.987), Data 0.010 (0.023), Loss 8.733 (9.177), Prec 97.66% (98.86%), s_pid_loss: 0.3153, t_un_loss: 8.4376, loss_tri_soft: 0.5904, loss_tri: 0.0856
Epoch: [0][68/129], Time 0.919 (0.986), Data 0.009 (0.023), Loss 8.187 (9.163), Prec 99.22% (98.86%), s_pid_loss: 0.2889, t_un_loss: 7.8888, loss_tri_soft: 0.5956, loss_tri: 0.0951
Epoch: [0][69/129], Time 0.898 (0.984), Data 0.010 (0.023), Loss 8.332 (9.151), Prec 97.66% (98.85%), s_pid_loss: 0.2862, t_un_loss: 8.0349, loss_tri_soft: 0.5947, loss_tri: 0.0920
Epoch: [0][70/129], Time 0.893 (0.983), Data 0.010 (0.023), Loss 8.243 (9.138), Prec 96.88% (98.82%), s_pid_loss: 0.4007, t_un_loss: 7.9456, loss_tri_soft: 0.5946, loss_tri: 0.0978
Epoch: [0][71/129], Time 0.895 (0.982), Data 0.009 (0.022), Loss 8.050 (9.122), Prec 96.88% (98.79%), s_pid_loss: 0.3637, t_un_loss: 7.7532, loss_tri_soft: 0.5943, loss_tri: 0.0896
Epoch: [0][72/129], Time 0.920 (0.981), Data 0.009 (0.022), Loss 8.328 (9.111), Prec 99.22% (98.80%), s_pid_loss: 0.3164, t_un_loss: 8.0279, loss_tri_soft: 0.6002, loss_tri: 0.1035
Epoch: [0][73/129], Time 0.899 (0.980), Data 0.010 (0.022), Loss 8.139 (9.098), Prec 99.22% (98.80%), s_pid_loss: 0.3478, t_un_loss: 7.8413, loss_tri_soft: 0.5958, loss_tri: 0.0959
Epoch: [0][74/129], Time 0.895 (0.979), Data 0.010 (0.022), Loss 7.869 (9.081), Prec 100.00% (98.82%), s_pid_loss: 0.3339, t_un_loss: 7.5703, loss_tri_soft: 0.5968, loss_tri: 0.0965
Epoch: [0][75/129], Time 0.912 (0.978), Data 0.009 (0.022), Loss 8.070 (9.068), Prec 98.44% (98.81%), s_pid_loss: 0.4274, t_un_loss: 7.7728, loss_tri_soft: 0.5934, loss_tri: 0.0935
Epoch: [0][76/129], Time 0.896 (0.977), Data 0.010 (0.021), Loss 8.343 (9.058), Prec 97.66% (98.80%), s_pid_loss: 0.3565, t_un_loss: 8.0451, loss_tri_soft: 0.5959, loss_tri: 0.0928
Epoch: [0][77/129], Time 0.901 (0.976), Data 0.009 (0.021), Loss 8.002 (9.045), Prec 97.66% (98.78%), s_pid_loss: 0.3622, t_un_loss: 7.7041, loss_tri_soft: 0.5964, loss_tri: 0.0944
